epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3166,1.33608,1.64384,1.41607,0.5497,0.76637,0.76991,0.51563,1.39842,2.69183,1.41129,0.000467346,0.000467346,0.000467346
2,54.1745,1.34092,1.17781,1.3873,0.79487,0.725,0.79811,0.36483,1.79441,1.52808,1.76531,0.000934337,0.000934337,0.000934337
3,78.0468,1.38778,1.18671,1.43516,0.35352,0.5199,0.34142,0.13255,1.97485,2.97025,1.84247,0.0013919,0.0013919,0.0013919
4,98.3155,1.35695,1.06787,1.38385,0.6793,0.65886,0.6651,0.44675,1.42936,1.62454,1.35732,0.00138656,0.00138656,0.00138656
5,118.038,1.29839,0.99331,1.36125,0.6064,0.85661,0.76423,0.46775,1.49859,1.17218,1.40532,0.00137241,0.00137241,0.00137241
6,137.899,1.27343,0.93042,1.32913,0.78771,0.70943,0.82738,0.56076,1.37001,1.13843,1.32465,0.00135826,0.00135826,0.00135826
7,159.532,1.24051,0.89078,1.3216,0.65845,0.71625,0.77199,0.48731,1.42179,1.2869,1.38117,0.00134412,0.00134412,0.00134412
8,179.037,1.22221,0.87655,1.31929,0.77677,0.8213,0.83604,0.55067,1.37552,1.0844,1.33251,0.00132997,0.00132997,0.00132997
9,199.519,1.23092,0.8866,1.31417,0.78355,0.80336,0.83714,0.52091,1.46283,1.05713,1.46258,0.00131582,0.00131582,0.00131582
10,220.121,1.22059,0.84997,1.30614,0.71736,0.76816,0.7926,0.55503,1.41016,1.18727,1.33126,0.00130168,0.00130168,0.00130168
11,240.386,1.19393,0.8071,1.27832,0.83678,0.88319,0.87668,0.5579,1.42055,0.9188,1.36595,0.00128753,0.00128753,0.00128753
12,261.595,1.16498,0.77375,1.25183,0.78541,0.83065,0.81785,0.58592,1.31148,0.90296,1.28878,0.00127338,0.00127338,0.00127338
13,283.537,1.11789,0.77184,1.24178,0.7894,0.83164,0.82207,0.61047,1.26963,0.93024,1.27069,0.00125923,0.00125923,0.00125923
14,306.206,1.12287,0.76084,1.24108,0.87814,0.8777,0.87679,0.58438,1.36239,0.86654,1.33727,0.00124509,0.00124509,0.00124509
15,327.942,1.06946,0.71918,1.22772,0.82004,0.87885,0.88116,0.61244,1.30749,0.86993,1.2954,0.00123094,0.00123094,0.00123094
16,349.599,1.07654,0.70858,1.22015,0.75741,0.79856,0.80229,0.63259,1.20245,0.96355,1.19299,0.00121679,0.00121679,0.00121679
17,372.217,1.04453,0.6818,1.1954,0.84126,0.88851,0.86863,0.65432,1.1831,0.85904,1.17535,0.00120265,0.00120265,0.00120265
18,405.634,1.03454,0.69604,1.2043,0.8137,0.84173,0.83676,0.65237,1.14278,0.80606,1.15347,0.0011885,0.0011885,0.0011885
19,434.99,1.03031,0.67041,1.18963,0.82438,0.85851,0.84036,0.64959,1.17773,0.83921,1.16249,0.00117435,0.00117435,0.00117435
20,491.254,0.98081,0.63669,1.14862,0.83791,0.85977,0.85071,0.66753,1.10538,0.80223,1.13674,0.00116021,0.00116021,0.00116021
21,527.75,0.96874,0.63487,1.15387,0.84834,0.81865,0.82428,0.66709,1.10403,0.86789,1.14754,0.00114606,0.00114606,0.00114606
22,560.079,0.9494,0.6141,1.15003,0.84119,0.88729,0.85655,0.63512,1.18618,0.80752,1.20743,0.00113191,0.00113191,0.00113191
23,584.611,0.9563,0.62009,1.14811,0.82565,0.87617,0.8595,0.65565,1.22958,0.825,1.19034,0.00111776,0.00111776,0.00111776
24,614.857,0.95005,0.59305,1.12992,0.81689,0.84052,0.84347,0.65906,1.17906,0.79932,1.18287,0.00110362,0.00110362,0.00110362
25,638.579,0.94538,0.59437,1.13896,0.8478,0.8777,0.87121,0.64931,1.18668,0.76792,1.18837,0.00108947,0.00108947,0.00108947
26,677.203,0.93702,0.59678,1.14267,0.85659,0.88249,0.85724,0.67558,1.08056,0.75641,1.11533,0.00107532,0.00107532,0.00107532
27,710.03,0.90838,0.56895,1.13065,0.82401,0.83606,0.82161,0.66787,1.1214,0.78872,1.14903,0.00106118,0.00106118,0.00106118
28,764.405,0.88555,0.55064,1.10109,0.80605,0.83213,0.82575,0.67999,1.09333,0.73667,1.11453,0.00104703,0.00104703,0.00104703
29,788.004,0.88492,0.54612,1.10736,0.84808,0.85612,0.83377,0.66988,1.09326,0.76988,1.13879,0.00103288,0.00103288,0.00103288
30,808.837,0.86782,0.53176,1.0942,0.86569,0.86972,0.8504,0.67946,1.21478,0.70986,1.20201,0.00101873,0.00101873,0.00101873
31,831.151,0.86501,0.531,1.09376,0.78142,0.83933,0.80386,0.64999,1.20496,0.79338,1.18957,0.00100459,0.00100459,0.00100459
32,854.868,0.85397,0.51371,1.08345,0.85207,0.86638,0.85442,0.6739,1.09894,0.75114,1.12038,0.00099044,0.00099044,0.00099044
33,875.58,0.86559,0.52767,1.08861,0.8597,0.86091,0.84333,0.68044,1.15615,0.73621,1.16921,0.000976293,0.000976293,0.000976293
34,901.628,0.83283,0.5148,1.07951,0.80565,0.83933,0.79839,0.6602,1.22491,0.73286,1.20772,0.000962146,0.000962146,0.000962146
35,937.148,0.82867,0.49879,1.07369,0.84424,0.85018,0.81627,0.66981,1.20108,0.74155,1.18382,0.000947999,0.000947999,0.000947999
36,968.243,0.83356,0.49811,1.07231,0.86557,0.90557,0.87628,0.68453,1.10167,0.70221,1.11011,0.000933851,0.000933851,0.000933851
37,994.668,0.81495,0.49771,1.07158,0.86157,0.89388,0.85649,0.71156,1.12929,0.6505,1.11607,0.000919704,0.000919704,0.000919704
38,1017,0.8131,0.48694,1.06894,0.84285,0.86493,0.83312,0.69218,1.16626,0.73271,1.14913,0.000905557,0.000905557,0.000905557
39,1041.78,0.80853,0.50179,1.05417,0.83231,0.83326,0.82039,0.68856,1.14645,0.72399,1.13897,0.00089141,0.00089141,0.00089141
40,1068.56,0.76583,0.45794,1.03221,0.8368,0.8777,0.82975,0.68796,1.17835,0.66263,1.17709,0.000877263,0.000877263,0.000877263
41,1090,0.77361,0.46167,1.04561,0.86946,0.90647,0.87751,0.7094,1.08568,0.63786,1.1089,0.000863116,0.000863116,0.000863116
42,1132.06,0.75451,0.46088,1.0456,0.87131,0.8801,0.85944,0.69641,1.12453,0.67603,1.14225,0.000848969,0.000848969,0.000848969
43,1162.32,0.77536,0.45124,1.04118,0.87358,0.8656,0.8572,0.68906,1.15,0.6771,1.17195,0.000834822,0.000834822,0.000834822
44,1204.07,0.76376,0.45054,1.03171,0.86421,0.8777,0.84712,0.69339,1.15805,0.64268,1.15883,0.000820675,0.000820675,0.000820675
45,1229.43,0.73982,0.43572,1.02678,0.87145,0.88249,0.84477,0.65502,1.26121,0.68161,1.21553,0.000806528,0.000806528,0.000806528
46,1259.4,0.78343,0.45506,1.06454,0.84063,0.88352,0.83516,0.67592,1.19633,0.70064,1.18394,0.00079238,0.00079238,0.00079238
47,1288.86,0.75582,0.44319,1.02491,0.8667,0.86091,0.84139,0.66578,1.24047,0.66398,1.19293,0.000778233,0.000778233,0.000778233
48,1314.47,0.74255,0.43076,1.03083,0.84586,0.89266,0.84592,0.6806,1.18081,0.67359,1.15612,0.000764086,0.000764086,0.000764086
49,1335.56,0.73589,0.42986,1.03342,0.85873,0.84939,0.8385,0.67889,1.21096,0.66375,1.19607,0.000749939,0.000749939,0.000749939
50,1359.24,0.7304,0.42005,1.01114,0.86028,0.87698,0.83925,0.68852,1.23952,0.65717,1.22519,0.000735792,0.000735792,0.000735792
51,1389.79,0.71812,0.42864,1.02436,0.85,0.89213,0.84637,0.67835,1.19932,0.65803,1.20508,0.000721645,0.000721645,0.000721645
52,1417.56,0.71458,0.41657,1.01461,0.85051,0.90647,0.84488,0.68443,1.22111,0.62607,1.20609,0.000707498,0.000707498,0.000707498
53,1438.29,0.70121,0.41011,1.00631,0.86325,0.90887,0.87329,0.70959,1.12296,0.6507,1.16037,0.000693351,0.000693351,0.000693351
54,1463.16,0.73346,0.42171,1.02617,0.88137,0.89957,0.86519,0.70665,1.1594,0.61307,1.1724,0.000679204,0.000679204,0.000679204
55,1491.97,0.68968,0.40436,1.00422,0.8767,0.86571,0.84346,0.6928,1.16994,0.64264,1.17065,0.000665057,0.000665057,0.000665057
56,1522.38,0.67359,0.39729,1.00861,0.85083,0.88489,0.83451,0.671,1.2142,0.65176,1.20572,0.000650909,0.000650909,0.000650909
57,1548.11,0.69527,0.39948,1.01342,0.87521,0.89688,0.84986,0.67899,1.17958,0.59294,1.18045,0.000636762,0.000636762,0.000636762
58,1574.05,0.67485,0.3933,1.00807,0.86745,0.89448,0.8396,0.68173,1.18802,0.59865,1.17557,0.000622615,0.000622615,0.000622615
59,1597.5,0.67403,0.38683,1.00228,0.88751,0.90887,0.86577,0.69087,1.1492,0.61115,1.17283,0.000608468,0.000608468,0.000608468
60,1620.89,0.69016,0.3894,1.00724,0.87813,0.89574,0.85934,0.69589,1.16661,0.62378,1.18489,0.000594321,0.000594321,0.000594321
61,1645.05,0.67579,0.38961,0.99417,0.88027,0.8653,0.85835,0.69674,1.19693,0.63058,1.20233,0.000580174,0.000580174,0.000580174
62,1668.66,0.64728,0.37811,0.99081,0.86063,0.86344,0.83008,0.67581,1.22891,0.6272,1.21006,0.000566027,0.000566027,0.000566027
63,1692.15,0.64879,0.37904,0.99773,0.86173,0.90408,0.85375,0.688,1.20575,0.6027,1.19156,0.00055188,0.00055188,0.00055188
64,1715.51,0.64286,0.38061,1.00139,0.8506,0.89209,0.8448,0.67974,1.20237,0.60158,1.18394,0.000537733,0.000537733,0.000537733
65,1739.02,0.64451,0.36902,0.98786,0.86569,0.88709,0.84904,0.70639,1.1865,0.60445,1.18668,0.000523586,0.000523586,0.000523586
66,1762.43,0.62513,0.36283,0.99219,0.85897,0.85612,0.81201,0.68188,1.20773,0.6337,1.24222,0.000509438,0.000509438,0.000509438
67,1785.9,0.63798,0.36146,0.98468,0.87454,0.88729,0.85173,0.69096,1.19346,0.59281,1.20501,0.000495291,0.000495291,0.000495291
68,1809.53,0.63191,0.36955,0.98441,0.85498,0.89209,0.84608,0.68101,1.21759,0.60472,1.20488,0.000481144,0.000481144,0.000481144
69,1834.58,0.60248,0.34599,0.96996,0.85112,0.88135,0.82926,0.69808,1.17801,0.56866,1.18035,0.000466997,0.000466997,0.000466997
70,1857.07,0.59372,0.3509,0.97314,0.88085,0.88256,0.85288,0.69833,1.16436,0.56786,1.18017,0.00045285,0.00045285,0.00045285
71,1880.18,0.61028,0.35552,0.96734,0.88576,0.89139,0.86199,0.6828,1.1905,0.57001,1.2046,0.000438703,0.000438703,0.000438703
72,1905.88,0.58722,0.3486,0.96998,0.87882,0.89209,0.8523,0.68928,1.20166,0.57113,1.21372,0.000424556,0.000424556,0.000424556
73,1925.74,0.57972,0.34512,0.96097,0.84632,0.89875,0.83196,0.68966,1.17539,0.59603,1.18114,0.000410409,0.000410409,0.000410409
74,1945.67,0.59097,0.34815,0.97853,0.85967,0.88086,0.83254,0.69532,1.14781,0.59382,1.18512,0.000396262,0.000396262,0.000396262
75,1965.62,0.58847,0.34161,0.96786,0.85083,0.89335,0.83244,0.68937,1.16658,0.6352,1.17842,0.000382115,0.000382115,0.000382115
76,1985.6,0.57525,0.33009,0.95552,0.84844,0.86663,0.80979,0.68387,1.1848,0.6438,1.19674,0.000367967,0.000367967,0.000367967
77,2005.56,0.55171,0.32273,0.95447,0.83665,0.85977,0.80653,0.68171,1.19665,0.68344,1.20089,0.00035382,0.00035382,0.00035382
78,2027.52,0.56954,0.33875,0.96056,0.84335,0.8593,0.80751,0.67329,1.20444,0.6467,1.20109,0.000339673,0.000339673,0.000339673
79,2047.57,0.56433,0.33097,0.958,0.86029,0.88375,0.82638,0.6717,1.23698,0.60187,1.25418,0.000325526,0.000325526,0.000325526
80,2068.77,0.55273,0.32555,0.95736,0.8695,0.90294,0.84842,0.69526,1.16966,0.58953,1.19894,0.000311379,0.000311379,0.000311379
81,2090.36,0.55984,0.32752,0.96437,0.84537,0.86217,0.81458,0.68465,1.17449,0.61369,1.21224,0.000297232,0.000297232,0.000297232
82,2110.49,0.54311,0.31835,0.95498,0.88109,0.88855,0.84858,0.69623,1.15416,0.57323,1.21395,0.000283085,0.000283085,0.000283085
83,2135.06,0.52335,0.30758,0.941,0.86446,0.89492,0.84183,0.69083,1.14557,0.57008,1.18428,0.000268938,0.000268938,0.000268938
84,2157.51,0.52758,0.31338,0.94431,0.84787,0.88351,0.82454,0.68383,1.16196,0.59625,1.20852,0.000254791,0.000254791,0.000254791
85,2177.93,0.5218,0.30724,0.9419,0.85347,0.89095,0.83431,0.68836,1.15449,0.58197,1.19627,0.000240644,0.000240644,0.000240644
86,2199.22,0.52832,0.30601,0.94004,0.85358,0.88615,0.83223,0.69312,1.15675,0.60302,1.21207,0.000226497,0.000226497,0.000226497
87,2223.66,0.5076,0.30193,0.93096,0.87009,0.89209,0.84706,0.69837,1.14003,0.57104,1.20642,0.000212349,0.000212349,0.000212349
