epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1139.24,0.7667,0.45711,1.0525,0.85582,0.89728,0.85324,0.68682,1.21547,0.68949,1.20309,0.000848969,0.000848969,0.000848969
43,1157.6,0.76289,0.45023,1.03538,0.88566,0.90887,0.8933,0.71521,1.08698,0.64331,1.12543,0.000834822,0.000834822,0.000834822
44,1176.66,0.76424,0.44501,1.03516,0.88423,0.89688,0.87226,0.69356,1.13853,0.64323,1.15084,0.000820675,0.000820675,0.000820675
45,1195.06,0.7532,0.43626,1.03515,0.86772,0.85977,0.83537,0.66265,1.18893,0.6457,1.19461,0.000806528,0.000806528,0.000806528
46,1213.5,0.77769,0.44046,1.05648,0.87216,0.86394,0.85317,0.68987,1.14023,0.62352,1.16102,0.00079238,0.00079238,0.00079238
47,1231.97,0.75804,0.43302,1.02602,0.86689,0.85498,0.85517,0.69579,1.14286,0.62455,1.14743,0.000778233,0.000778233,0.000778233
48,1250.76,0.74654,0.42878,1.03193,0.86102,0.8779,0.854,0.69628,1.12178,0.61672,1.13715,0.000764086,0.000764086,0.000764086
49,1269.54,0.74942,0.42482,1.03998,0.87119,0.86331,0.8485,0.6924,1.12841,0.5857,1.14396,0.000749939,0.000749939,0.000749939
50,1288.15,0.73541,0.4193,1.01641,0.87099,0.85851,0.84865,0.70136,1.13629,0.61782,1.16304,0.000735792,0.000735792,0.000735792
51,1306.85,0.72002,0.41798,1.02494,0.8476,0.8729,0.83591,0.68932,1.14919,0.65896,1.18712,0.000721645,0.000721645,0.000721645
52,1325.4,0.7033,0.41054,1.01574,0.90689,0.8753,0.87513,0.70117,1.14689,0.62422,1.17079,0.000707498,0.000707498,0.000707498
53,1344.15,0.70397,0.40571,1.01328,0.91589,0.90887,0.89934,0.70721,1.11019,0.56408,1.14377,0.000693351,0.000693351,0.000693351
54,1362.7,0.73332,0.41514,1.03127,0.89402,0.86331,0.86007,0.6873,1.24184,0.59334,1.23636,0.000679204,0.000679204,0.000679204
55,1381.32,0.69222,0.40204,1.00531,0.83895,0.86936,0.85318,0.68036,1.18668,0.60109,1.18973,0.000665057,0.000665057,0.000665057
56,1400.03,0.6898,0.39915,1.01487,0.87695,0.86936,0.86781,0.69377,1.15412,0.57547,1.18073,0.000650909,0.000650909,0.000650909
57,1418.66,0.69834,0.39615,1.01358,0.86878,0.85498,0.83827,0.69461,1.16218,0.57835,1.17366,0.000636762,0.000636762,0.000636762
58,1437.38,0.67968,0.38761,1.01036,0.84951,0.86457,0.82498,0.69243,1.15233,0.57911,1.19076,0.000622615,0.000622615,0.000622615
59,1456.03,0.66027,0.3807,0.99393,0.87258,0.87994,0.85223,0.69613,1.13253,0.57416,1.17385,0.000608468,0.000608468,0.000608468
60,1474.69,0.65751,0.38024,0.99673,0.89927,0.88489,0.86357,0.70321,1.13599,0.56424,1.15464,0.000594321,0.000594321,0.000594321
61,1493.22,0.65691,0.38008,0.98871,0.88231,0.86032,0.85429,0.69306,1.16337,0.57945,1.18154,0.000580174,0.000580174,0.000580174
62,1511.76,0.64646,0.37511,0.98968,0.88656,0.8753,0.85621,0.70174,1.16165,0.55921,1.17995,0.000566027,0.000566027,0.000566027
63,1530.25,0.64769,0.37581,1.0001,0.86364,0.8753,0.84576,0.70259,1.18918,0.56574,1.1786,0.00055188,0.00055188,0.00055188
64,1548.76,0.63086,0.37416,0.99481,0.90477,0.88489,0.86574,0.71138,1.13704,0.55861,1.15581,0.000537733,0.000537733,0.000537733
65,1567.15,0.64307,0.36382,0.98846,0.86989,0.90647,0.85192,0.70158,1.17162,0.54089,1.17141,0.000523586,0.000523586,0.000523586
66,1585.61,0.63485,0.36756,0.99704,0.88851,0.89203,0.85259,0.69947,1.14542,0.56329,1.17364,0.000509438,0.000509438,0.000509438
67,1604.02,0.64008,0.36551,0.98685,0.88409,0.88489,0.8702,0.70386,1.13453,0.55429,1.17253,0.000495291,0.000495291,0.000495291
68,1622.63,0.6288,0.3639,0.98753,0.90359,0.8871,0.86542,0.68856,1.16824,0.57902,1.17654,0.000481144,0.000481144,0.000481144
69,1640.97,0.60795,0.34703,0.97235,0.85687,0.89209,0.84475,0.69965,1.12133,0.57411,1.15896,0.000466997,0.000466997,0.000466997
70,1659.3,0.58393,0.34564,0.97352,0.8848,0.8753,0.86006,0.70724,1.12171,0.58124,1.16439,0.00045285,0.00045285,0.00045285
71,1677.73,0.59607,0.34706,0.96483,0.87003,0.89688,0.87683,0.70029,1.16925,0.55596,1.17242,0.000438703,0.000438703,0.000438703
72,1696.39,0.58129,0.33903,0.96876,0.87954,0.8874,0.8708,0.70379,1.21368,0.5609,1.21341,0.000424556,0.000424556,0.000424556
73,1714.94,0.58231,0.34051,0.96206,0.88263,0.88489,0.87155,0.71251,1.12488,0.58372,1.15251,0.000410409,0.000410409,0.000410409
74,1733.56,0.58445,0.34112,0.97479,0.91144,0.90408,0.88779,0.72069,1.12095,0.56284,1.15945,0.000396262,0.000396262,0.000396262
75,1752.79,0.58824,0.3439,0.97453,0.89609,0.88249,0.86536,0.71523,1.13086,0.57406,1.18639,0.000382115,0.000382115,0.000382115
76,1771.32,0.57949,0.33272,0.9567,0.84669,0.87881,0.82065,0.69054,1.16545,0.57439,1.19609,0.000367967,0.000367967,0.000367967
77,1789.88,0.55573,0.32431,0.95467,0.8881,0.86811,0.84937,0.70779,1.14587,0.57078,1.19099,0.00035382,0.00035382,0.00035382
78,1808.59,0.56568,0.33286,0.96134,0.89981,0.87462,0.85967,0.69426,1.17991,0.56036,1.21372,0.000339673,0.000339673,0.000339673
79,1828.72,0.54787,0.32224,0.95243,0.88294,0.88855,0.85614,0.71067,1.12433,0.56454,1.19321,0.000325526,0.000325526,0.000325526
80,1848.61,0.54746,0.32138,0.95768,0.88124,0.91127,0.87695,0.71148,1.13502,0.55578,1.17221,0.000311379,0.000311379,0.000311379
81,1868.87,0.56229,0.32606,0.96642,0.89174,0.8705,0.84917,0.70603,1.12901,0.52942,1.19773,0.000297232,0.000297232,0.000297232
82,1888.86,0.55101,0.31686,0.96014,0.89298,0.87225,0.8584,0.70728,1.12164,0.52402,1.20513,0.000283085,0.000283085,0.000283085
83,1907.85,0.5221,0.30553,0.94124,0.89195,0.87656,0.87718,0.71433,1.12323,0.54206,1.19591,0.000268938,0.000268938,0.000268938
84,1926.88,0.52803,0.30942,0.94644,0.87983,0.87896,0.86226,0.71069,1.09725,0.52859,1.17204,0.000254791,0.000254791,0.000254791
85,1946.06,0.5144,0.3059,0.93983,0.89101,0.89505,0.86845,0.70198,1.12237,0.53026,1.19628,0.000240644,0.000240644,0.000240644
86,1965.02,0.52127,0.30323,0.94063,0.88896,0.91127,0.88354,0.71866,1.10848,0.53161,1.17644,0.000226497,0.000226497,0.000226497
87,1984.06,0.50611,0.30132,0.933,0.89799,0.89209,0.87143,0.71476,1.12343,0.51871,1.19315,0.000212349,0.000212349,0.000212349
88,2003.07,0.51566,0.30817,0.93526,0.8974,0.89928,0.86353,0.70232,1.13801,0.50648,1.1985,0.000198202,0.000198202,0.000198202
89,2021.99,0.52817,0.31025,0.94556,0.90077,0.88855,0.86985,0.71281,1.12244,0.51381,1.19332,0.000184055,0.000184055,0.000184055
90,2041.06,0.50129,0.29832,0.94004,0.89773,0.88855,0.87394,0.71126,1.12505,0.52012,1.19321,0.000169908,0.000169908,0.000169908
